7zip 26.01-1.1
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
phonon-qt6-vlc 0.12.0-6
pipewire-alsa 1:1.6.4-1.1
pipewire-pulse 1:1.6.4-1.1
pkgfile 25-2.1
plasma-browser-integration 6.6.4-1.1
plasma-desktop 6.6.4-1.1
plasma-firewall 6.6.4-1.1
plasma-login-manager 6.6.4-1.1
plasma-nm 6.6.4-1
plasma-pa 6.6.4-1.1
plasma-systemmonitor 6.6.4-1.1
plasma-thunderbolt 6.6.4-1.1
plocate 1.1.24-1.1
plymouth 24.004.60-14.1
plymouth-kcm 6.6.4-1.1
poppler-glib 26.04.0-1.1
power-profiles-daemon 0.30-3
powerdevil 6.6.4-1.1
powertop 2.15-2.1
pv 1.10.5-1.1
python 3.14.4-2
python-defusedxml 0.7.1-8
python-packaging 26.2-1
python-pipx 1.11.1-1
python-pyqt5 5.15.11-7
python-reportlab 4.4.10-2
qbittorrent 5.1.4-2
qemu-full 11.0.0-1
quickemu 4.9.9-2
rclone 1.73.5-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rsync 3.4.2-1.1
s-nail 14.9.25-1.1
sg3_utils 1.48-1.2
shelly 2.1.5-1
shotcut 26.2.26-1.1
smartmontools 7.5-1.1
sof-firmware 2025.12.2-1
spectacle 1:6.6.4-1.1
sudo 1.9.17.p2-2.1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
systemd-boot-manager 19-2
tail-tray 0.2.31-1
tailscale 1.96.4-1.1
texinfo 7.3-1.1
tor 0.4.9.6-1.1
torbrowser-launcher 0.3.7-4
trayscale 0.18.8-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
usb_modeswitch 2.6.2.20251207-1.1
